uid,id,source,rank,game
427,22,"7. Spirits of the Wild","7","Spirits of the Wild"
428,22,"9. Piraten Kapern","9","Piraten Kapern"
429,22,".",".","."
430,22,".",".","."
431,22,".",".","."
432,22,".",".","."
433,22,".",".","."
434,22,".",".","."
435,22,".",".","."
436,22,".",".","."
437,22,".",".","."
438,22,".",".","."
439,22,".",".","."
440,22,".",".","."
441,23,"1. Azul","1","Azul"
442,23,"2. The Fox in the Forest","2","The Fox in the Forest"
443,23,"3. Chimichangas and Tacos","3","Chimichangas and Tacos"
444,23,"4. Horrified","4","Horrified"
445,23,"5. Ada's Library","5","Ada's Library"
446,23,"6. The Isle of Cats","6","The Isle of Cats"
447,23,"7. Splendor: Marvel","7","Splendor: Marvel"
448,23,"8. Dandelions","8","Dandelions"
449,23,"9. Dinosaur Island: Rawr 'n Write","9","Dinosaur Island: Rawr 'n Write"
450,23,"10. Wild: Serengeti","10","Wild: Serengeti"
451,23,"11. Mythic Mischief","11","Mythic Mischief"
452,23,"12. Keep the Heroes Out","12","Keep the Heroes Out"
453,23,"13. Marvel Dice Throne","13","Marvel Dice Throne"
454,23,"14. Marvel United","14","Marvel United"
455,23,"15. Creature Comforts","15","Creature Comforts"
456,23,"16. Castles of Burgundy","16","Castles of Burgundy"
457,23,"17. Wingspan","17","Wingspan"
458,23,"18. Calico","18","Calico"
459,23,"19. Nersha","19","Nersha"
460,23,"20. Illiterati","20","Illiterati"
461,24,"20. Azul","20","Azul"
462,24,"19. Pokémon Trading Card Game","19","Pokémon Trading Card Game"
463,24,"18. KeyForge","18","KeyForge"
464,24,"17. Summoner Wars","17","Summoner Wars"
465,24,"16. Carcassonne","16","Carcassonne"
466,24,"15. Res Arcana","15","Res Arcana"
467,24,"14. Schotten Totten","14","Schotten Totten"
468,24,"13. Watergate","13","Watergate"
469,24,"12. War Chest","12","War Chest"
470,24,"11. The Fox in the Forest","11","The Fox in the Forest"
471,24,"10. Innovation","10","Innovation"
472,24,"9. Codenames: Duet","9","Codenames: Duet"
473,24,"8. Patchwork","8","Patchwork"
474,24,"7. Hanabi","7","Hanabi"
475,24,"6. Lost Cities","6","Lost Cities"
476,24,"5. Santorini","5","Santorini"
477,24,"4. Kingdomino","4","Kingdomino"
478,24,"3. Star Realms","3","Star Realms"
479,24,"2. Legendary: A Marvel Deck Building Game","2","Legendary: A Marvel Deck Building Game"
480,24,"1. Race for the Galaxy","1","Race for the Galaxy"
481,25,"1. Arboretum","1","Arboretum"
482,25,"2. Yokohama","2","Yokohama"
483,25,"3. Scythe","3","Scythe"
484,25,"4. Hanamikoji","4","Hanamikoji"
485,25,"5. Concordia Venus","5","Concordia Venus"
486,25,"6. Codenames: Duet","6","Codenames: Duet"
487,25,"7. Tapestry","7","Tapestry"
488,25,"8. Targi","8","Targi"
489,25,"9. Ticket to Ride: Nordic Countries","9","Ticket to Ride: Nordic Countries"
